sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
2039,-6976,14824,5484,-6085,-39291783,-21670613,-9512,-31356
2040,-7438,14598,5489,-6081,-38720288,-21673368,-8545,-31633
2041,-7893,14357,5493,-6077,-38194660,-21676235,-7571,-31880
2042,-8340,14102,5498,-6073,-37617570,-21678596,-6590,-32098
2043,-8779,13833,5502,-6069,-37055896,-21681649,-5404,-32318
2044,-9209,13550,5469,-6098,-41139924,-21684574,-4410,-32469
2045,-9630,13255,5474,-6094,-40580739,-21630139,-3412,-32589
2046,-10042,12946,5478,-6090,-40051505,-21632657,-2410,-32678
2047,-10443,12624,5483,-6086,-39495832,-21634864,-1407,-32737
2048,-10835,12289,5487,-6082,-38944128,-21637454,-402,-32765
2049,-11215,11943,5492,-6078,-38344462,-21640055,603,-32761
2050,-11585,11585,5496,-6074,-37814282,-21643307,1608,-32728
2051,-11943,11215,5501,-6070,-37257360,-21645765,2611,-32663
2052,-12289,10835,5505,-6066,-36686874,-21648610,3612,-32567
2053,-12624,10443,5509,-6062,-36171470,-21651682,4609,-32441
2054,-12946,10042,5514,-6058,-35561982,-21654134,5602,-32285
2055,-13255,9630,5519,-6054,-35023136,-21657804,6786,-32057
2056,-13550,9209,5486,-6084,-39090985,-21660666,7767,-31833
2057,-13833,8779,5490,-6079,-38582100,-21606649,8739,-31580
2058,-14102,8340,5495,-6075,-38000948,-21608764,9704,-31297
2059,-14357,7893,5499,-6071,-37443854,-21611826,10659,-30985
2060,-14598,7438,5504,-6067,-36875710,-21614653,11605,-30643
2061,-14824,6976,5508,-6063,-36323900,-21617676,12725,-30195
2062,-15036,6507,5475,-6093,-40434640,-21620558,13645,-29791
2063,-15233,6031,5480,-6089,-39866796,-21565872,14553,-29358
2064,-15415,5550,5484,-6085,-39302676,-21568572,15446,-28898
2065,-15582,5063,5489,-6081,-38746620,-21571287,16325,-28411
2066,-15733,4571,5493,-6077,-38174316,-21573962,17189,-27896
